PassengerId,Cluster
0013_01,3
0018_01,9
0019_01,17
0021_01,18
0023_01,9
0027_01,9
0029_01,17
0032_01,1
0032_02,17
0033_01,9
0037_01,9
0040_01,18
0040_02,18
0042_01,3
0046_01,9
0046_02,9
0046_03,9
0047_01,1
0047_02,4
0047_03,18
0048_01,9
0049_01,9
0054_01,17
0054_02,4
0054_03,18
0055_01,9
0057_01,19
0059_01,3
0060_01,9
0063_01,3
0065_01,3
0075_01,9
0079_01,3
0080_01,9
0083_01,9
0087_01,9
0089_01,3
0093_01,9
0094_01,5
0094_02,9
0095_01,8
0096_01,8
0100_01,9
0100_02,5
0104_01,9
0106_01,3
0109_01,9
0117_01,8
0118_01,9
0121_01,9
0124_01,3
0125_01,17
0125_02,13
0130_01,3
0131_01,9
0132_01,13
0135_01,9
0137_01,3
0142_01,5
0142_02,13
0142_03,5
0143_01,19
0145_01,9
0150_01,1
0150_02,1
0153_01,9
0154_01,8
0155_01,9
0156_01,3
0157_01,18
0158_01,9
0158_02,9
0159_01,9
0161_01,9
0162_01,3
0166_01,9
0168_01,1
0175_01,5
0175_02,5
0175_03,5
0175_04,14
0175_05,14
0176_01,8
0180_01,9
0184_01,13
0185_01,13
0187_01,3
0191_01,9
0194_01,1
0194_02,17
0194_03,12
0204_01,8
0208_01,9
0209_01,7
0214_01,18
0214_02,13
0215_01,3
0218_01,9
0226_01,19
0227_01,16
0228_01,1
0228_02,4
0228_03,17
0228_04,6
0230_01,8
0230_02,9
0235_01,3
0236_01,3
0238_01,13
0247_01,17
0247_02,17
0249_01,9
0256_01,8
0259_01,13
0262_01,9
0264_01,17
0264_02,1
0264_03,7
0266_01,13
0266_02,13
0268_01,13
0268_02,13
0271_01,9
0272_01,13
0273_01,19
0273_02,3
0273_03,13
0274_01,13
0274_02,3
0276_01,18
0276_02,1
0279_01,9
0280_01,9
0284_01,13
0292_01,9
0293_01,3
0295_01,8
0296_01,13
0299_01,9
0300_01,4
0308_01,8
0311_01,9
0312_01,3
0317_01,9
0318_01,8
0319_01,13
0319_02,17
0323_01,0
0325_01,9
0328_01,9
0329_01,17
0332_01,3
0335_01,3
0339_01,9
0339_02,14
0339_03,14
0339_04,14
0339_05,14
0339_06,14
0339_07,14
0339_08,14
0342_01,8
0342_02,8
0344_01,1
0344_02,19
0349_01,6
0349_02,1
0349_03,18
0349_04,17
0349_05,18
0349_06,18
0351_01,3
0353_01,5
0353_02,8
0354_01,8
0362_01,9
0363_01,9
0363_02,5
0363_03,5
0364_01,13
0364_02,13
0366_01,3
0367_01,18
0374_01,9
0374_02,16
0386_01,13
0390_01,3
0393_01,13
0394_01,9
0399_01,3
0400_01,1
0404_01,13
0406_01,9
0414_01,9
0416_01,9
0418_01,9
0419_01,9
0419_02,8
0419_03,8
0420_01,9
0421_01,19
0422_01,9
0424_01,13
0426_01,9
0440_01,13
0443_01,3
0450_01,8
0451_01,17
0455_01,9
0464_01,3
0467_01,3
0467_02,3
0467_03,17
0467_04,13
0469_01,18
0473_01,9
0478_01,7
0478_02,17
0479_01,17
0483_01,1
0483_02,1
0484_01,3
0486_01,9
0489_01,3
0489_02,3
