CryoSleep,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Age Group,Group,Member,Travelling_Solo,Group_size,Cabin_Deck,Cabin_Side,Cabin_Region1,Cabin_Region2,Cabin_Region3,Cabin_Region4,Cabin_Region5,Cabin_Region6,Total Expenditure,No Spending,Expenditure Category,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e
0,39.0,0.0,0.0,0.0,0.0,0.0,False,5,1,1,1,1,1,0,1,0,0,0,0,0,0.0,1,3,0,1,0,0,0,1
0,24.0,4.700480365792417,2.302585092994046,3.258096538021482,6.309918278226516,3.8066624897703196,True,3,2,1,1,1,5,1,1,0,0,0,0,0,6.602587892189336,0,2,1,0,0,0,0,1
0,58.0,3.784189633918261,8.182279739259018,0.0,8.812248018197431,3.912023005428146,False,6,3,1,0,2,0,1,1,0,0,0,0,0,9.248021438943871,0,0,0,1,0,0,0,1
0,33.0,0.0,7.157735484249907,5.918893854273146,8.110727582974489,5.267858159063328,False,5,3,2,0,2,0,1,1,0,0,0,0,0,8.551981016901902,0,0,0,1,0,0,0,1
0,16.0,5.717027701406222,4.2626798770413155,5.0238805208462765,6.338594078203183,1.0986122886681098,True,2,4,1,1,1,5,1,1,0,0,0,0,0,6.9957661563048505,0,2,1,0,0,0,0,1
0,44.0,0.0,6.182084906716632,0.0,5.676753802268282,0.0,True,5,5,1,1,1,5,0,1,0,0,0,0,0,6.652863029353347,0,2,1,0,0,0,1,0
0,26.0,3.7612001156935624,7.3395376954076745,1.3862943611198906,0.0,0.0,True,4,6,1,0,2,5,1,1,0,0,0,0,0,7.368339686311381,0,0,1,0,0,0,0,1
1,28.0,0.0,0.0,0.0,0.0,0.0,True,4,6,2,0,2,6,1,1,0,0,0,0,0,0.0,1,3,1,0,0,0,0,1
0,35.0,0.0,6.666956792429207,2.8903717578961645,5.37989735354046,0.0,True,5,7,1,1,1,5,1,1,0,0,0,0,0,6.926577033222725,0,2,1,0,0,0,0,1
1,14.0,0.0,0.0,0.0,0.0,0.0,True,2,8,1,0,3,1,0,1,0,0,0,0,0,0.0,1,3,0,1,0,1,0,0
1,34.0,0.0,0.0,5.688668836846153,0.0,0.0,True,5,8,2,0,3,1,0,1,0,0,0,0,0,0.0,1,3,0,1,0,0,0,1
0,45.0,3.6888794541139363,8.895081531754167,6.380122536899765,4.709530201312334,4.8283137373023015,True,5,8,3,0,3,1,0,1,0,0,0,0,0,9.006754319877503,0,0,0,1,0,1,0,0
0,32.0,4.30406509320417,0.0,7.024649030453636,0.0,4.736198448394496,True,4,9,1,1,1,5,0,1,0,0,0,0,0,7.177782416195197,0,2,0,0,1,0,0,1
0,48.0,6.579251212010101,0.6931471805599453,4.189654742026425,0.0,3.2188758248682006,False,5,10,1,1,1,6,1,1,0,0,0,0,0,6.697034247666484,0,2,1,0,0,0,0,1
0,28.0,2.1972245773362196,6.882437470997847,2.5649493574615367,1.0986122886681098,2.0794415416798357,True,4,11,1,1,1,5,0,1,0,0,0,0,0,6.911747300251674,0,2,1,0,0,0,0,1
0,31.0,3.4965075614664802,0.0,6.776506992372183,0.0,0.0,False,4,12,1,1,1,5,1,0,1,0,0,0,0,6.812345094177479,0,2,1,0,0,0,0,1
0,27.0,7.160069207596127,4.812184355372417,5.590378250015488,0.0,0.0,False,4,14,1,1,1,5,0,1,0,0,0,0,0,7.25063551189868,0,2,0,0,1,1,0,0
0,24.0,0.0,0.6931471805599453,0.0,0.0,6.45833828334479,False,3,15,1,1,1,5,0,1,0,0,0,0,0,6.459904454377535,0,1,1,0,0,1,0,0
1,45.0,0.0,0.0,0.0,0.0,0.0,True,5,16,1,1,1,5,0,1,0,0,0,0,0,0.0,1,3,0,0,1,0,0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,17,1,0,2,6,0,1,0,0,0,0,0,0.0,1,3,1,0,0,0,0,1
0,14.0,6.023447592961033,0.0,0.6931471805599453,0.0,6.522092798170152,False,2,17,2,0,2,5,0,1,0,0,0,0,0,6.996681488176539,0,2,1,0,0,1,0,0
1,1.0,0.0,0.0,0.0,0.0,0.0,False,0,20,1,0,6,4,1,1,0,0,0,0,0,0.0,1,3,1,0,0,0,0,1
1,49.0,0.0,0.0,0.0,0.0,0.0,False,5,20,2,0,6,4,1,1,0,0,0,0,0,0.0,1,3,1,0,0,1,0,0
1,29.0,0.0,0.0,0.0,0.0,0.0,False,4,20,3,0,6,4,1,1,0,0,0,0,0,0.0,1,3,1,0,0,1,0,0
0,10.0,0.0,0.0,0.0,0.0,0.0,True,1,20,4,0,6,4,1,1,0,0,0,0,0,0.0,1,3,1,0,0,0,0,1
1,1.0,0.0,0.0,0.0,0.0,0.0,False,0,20,5,0,6,4,1,1,0,0,0,0,0,0.0,1,3,1,0,0,0,1,0
0,7.0,0.0,0.0,0.0,0.0,0.0,False,1,20,6,0,6,4,1,1,0,0,0,0,0,0.0,1,3,1,0,0,0,0,1
0,21.0,6.8885724595653635,1.0986122886681098,4.248495242049359,0.0,0.0,False,3,22,1,1,1,3,0,1,0,0,0,0,0,6.9584483932976555,0,2,0,0,1,0,0,1
1,62.0,0.0,0.0,5.175812010219578,0.0,0.0,True,6,24,1,1,1,2,1,1,0,0,0,0,0,0.0,1,3,0,1,0,0,0,1
0,15.0,0.0,5.420534999272286,0.0,6.906754778648554,0.0,False,2,25,1,1,1,5,1,1,0,0,0,0,0,7.1098794630722715,0,2,1,0,0,0,0,1
0,34.0,3.1354942159291497,8.711772645605693,0.0,7.271703706887368,5.796057750765372,False,5,26,1,1,1,2,0,1,0,0,0,0,0,8.969796305981806,0,0,0,1,0,1,0,0
0,43.0,7.026426808699636,0.0,4.919980925828125,3.8918202981106265,0.0,False,5,28,1,1,1,5,0,1,0,0,0,0,0,7.177782416195197,0,2,0,0,1,0,0,1
0,32.0,0.0,6.7464121285733745,4.406719247264253,6.082218910376446,6.118097198041348,False,4,30,1,1,1,6,1,1,0,0,0,0,0,7.507690077819904,0,0,1,0,0,0,0,1
0,47.0,5.3706380281276624,0.0,7.252762418053187,0.0,7.114769448366463,True,5,31,1,0,3,5,0,1,0,0,0,0,0,7.956827122090111,0,0,0,0,1,0,0,1
0,2.0,0.0,0.0,0.0,0.0,0.0,True,0,31,2,0,3,5,0,1,0,0,0,0,0,0.0,1,3,0,0,1,0,0,1
0,20.0,4.68213122712422,0.0,7.467942332285852,6.898714534329988,0.0,True,3,31,3,0,3,5,0,1,0,0,0,0,0,7.916078096302786,0,0,0,0,1,0,0,1
1,28.0,0.0,0.0,0.0,0.0,0.0,True,4,34,1,1,1,3,1,1,0,0,0,0,0,0.0,1,3,0,1,0,1,0,0
0,23.0,6.665683717782408,6.872128101338986,0.0,6.858565034791365,0.0,False,3,35,1,1,1,3,0,1,0,0,0,0,0,7.90100705199242,0,0,0,0,1,1,0,0
0,15.0,0.0,6.20050917404269,3.8918202981106265,3.044522437723423,5.996452088619021,False,2,36,1,1,1,5,1,1,0,0,0,0,0,6.8690144506657065,0,2,1,0,0,1,0,0
0,20.0,6.318968113746434,5.278114659230517,0.0,7.865955413933502,0.0,False,3,38,1,1,1,5,1,1,0,0,0,0,0,8.118505067587098,0,0,1,0,0,1,0,0
1,30.0,0.0,0.0,4.035550825041422,0.0,0.0,False,4,39,1,1,1,6,0,1,0,0,0,0,0,0.0,1,3,1,0,0,1,0,0
1,17.0,0.0,0.0,0.0,0.0,0.0,True,2,41,1,1,1,6,0,1,0,0,0,0,0,0.0,1,3,1,0,0,0,0,1
0,45.0,0.0,5.10594547390058,3.828641396489095,7.828834527588089,6.752270376141742,False,5,43,1,1,1,1,0,1,0,0,0,0,0,8.182000136293405,0,0,0,1,0,0,0,1
1,55.0,0.0,0.0,0.0,0.0,0.0,False,6,44,1,0,3,6,0,1,0,0,0,0,0,0.0,1,3,1,0,0,0,0,1
